pregunta;respuesta
Hola;"Hola, ¿Cómo puedo ayudarte?"
¡Buenos días!;"Hola, ¿Cómo puedo ayudarte?"
¡Buenas tardes!;"Hola, ¿Cómo puedo ayudarte?"
¡Buenas noches!;"Hola, ¿Cómo puedo ayudarte?"
¿Qué tal?;"Hola, ¿Cómo puedo ayudarte?"
¡Hey!;"Hola, ¿Cómo puedo ayudarte?"
¡Hola, ¿cómo estás?;"Hola, ¿Cómo puedo ayudarte?"
¡Qué hay!;"Hola, ¿Cómo puedo ayudarte?"
¡Saludos!;"Hola, ¿Cómo puedo ayudarte?"
¡Hola a todos!;"Hola, ¿Cómo puedo ayudarte?"
¡Buenas!;"Hola, ¿Cómo puedo ayudarte?"
¡Hola, hola!;"Hola, ¿Cómo puedo ayudarte?"
¡Saludos cordiales!;"Hola, ¿Cómo puedo ayudarte?"
¡Qué pasa!;"Hola, ¿Cómo puedo ayudarte?"
¡Hola, amig@!;"Hola, ¿Cómo puedo ayudarte?"
Adios;"Hasta pronto, que tengas un buen día!!"
¡Hasta luego!;"Hasta pronto, que tengas un buen día!!"
¡Nos vemos!;"Hasta pronto, que tengas un buen día!!"
¡Hasta pronto!;"Hasta pronto, que tengas un buen día!!"
¡Hasta la vista!;"Hasta pronto, que tengas un buen día!!"
¡Chao!;"Hasta pronto, que tengas un buen día!!"
¡Hasta mañana!;"Hasta pronto, que tengas un buen día!!"
¡Cuídate!;"Hasta pronto, que tengas un buen día!!"
¡Que te vaya bien!;"Hasta pronto, que tengas un buen día!!"
¡Hasta la próxima!;"Hasta pronto, que tengas un buen día!!"
¡Nos vemos pronto!;"Hasta pronto, que tengas un buen día!!"
¡Hasta otra!;"Hasta pronto, que tengas un buen día!!"
¡Hasta entonces!;"Hasta pronto, que tengas un buen día!!"
¡Salud!;"Hasta pronto, que tengas un buen día!!"
¡Despedida!;"Hasta pronto, que tengas un buen día!!"
¡Hasta más ver!;"Hasta pronto, que tengas un buen día!!"
¿Cómo estás?;"Bien, gracias por preguntar. ¿En qué puedo ayudarte?"
¿Cómo te va?;"Bien, gracias por preguntar. ¿En qué puedo ayudarte?"
¿Qué tal?;"Bien, gracias por preguntar. ¿En qué puedo ayudarte?"
¿Qué haces?;"Bien, gracias por preguntar. ¿En qué puedo ayudarte?"
¿Cómo te encuentras?;"Bien, gracias por preguntar. ¿En qué puedo ayudarte?"
¿Qué pasa?;"Bien, gracias por preguntar. ¿En qué puedo ayudarte?"
¿Cómo andas?;"Bien, gracias por preguntar. ¿En qué puedo ayudarte?"
¿Qué hay de nuevo?;"Bien, gracias por preguntar. ¿En qué puedo ayudarte?"
¿Cómo va todo?;"Bien, gracias por preguntar. ¿En qué puedo ayudarte?"
¿Cómo te sientes?;"Bien, gracias por preguntar. ¿En qué puedo ayudarte?"
¿Qué es de tu vida?;"Bien, gracias por preguntar. ¿En qué puedo ayudarte?"
¿Cómo va?;"Bien, gracias por preguntar. ¿En qué puedo ayudarte?"
¿Qué cuentas?;"Bien, gracias por preguntar. ¿En qué puedo ayudarte?"
¿Qué tal todo?;"Bien, gracias por preguntar. ¿En qué puedo ayudarte?"
¿Cómo te ha ido?;"Bien, gracias por preguntar. ¿En qué puedo ayudarte?"
¿Cómo va la vida?;"Bien, gracias por preguntar. ¿En qué puedo ayudarte?"
¿Qué puedes hacer?;"Puedo responder preguntas básicas sobre la funcionalidad de la aplicación."
¿Qué eres capaz de hacer?;"Puedo responder preguntas básicas sobre la funcionalidad de la aplicación."
¿Qué sabes hacer?;"Puedo responder preguntas básicas sobre la funcionalidad de la aplicación."
¿Qué habilidades tienes?;"Puedo responder preguntas básicas sobre la funcionalidad de la aplicación."
¿Qué puedes lograr?;"Puedo responder preguntas básicas sobre la funcionalidad de la aplicación."
¿Cuáles son tus capacidades?;"Puedo responder preguntas básicas sobre la funcionalidad de la aplicación."
¿Qué puedes ofrecer?;"Puedo responder preguntas básicas sobre la funcionalidad de la aplicación."
¿Qué podrías hacer?;"Puedo responder preguntas básicas sobre la funcionalidad de la aplicación."
¿Qué eres capaz de realizar?;"Puedo responder preguntas básicas sobre la funcionalidad de la aplicación."
¿Qué aptitudes tienes?;"Puedo responder preguntas básicas sobre la funcionalidad de la aplicación."
¿Qué puedes llevar a cabo?;"Puedo responder preguntas básicas sobre la funcionalidad de la aplicación."
¿Qué puedes aportar?;"Puedo responder preguntas básicas sobre la funcionalidad de la aplicación."
¿Qué puedes realizar?;"Puedo responder preguntas básicas sobre la funcionalidad de la aplicación."
¿Qué puedes desempeñar?;"Puedo responder preguntas básicas sobre la funcionalidad de la aplicación."
¿Qué puedes manejar?;"Puedo responder preguntas básicas sobre la funcionalidad de la aplicación."
¿Qué puedes ejecutar?;"Puedo responder preguntas básicas sobre la funcionalidad de la aplicación."
¿Para qué sirve esta aplicación?;"Esta aplicación es un Asistente Vitual que responde a las preguntas que se le realicen a cerca de los ficheros proporcionado por el usuario. También responde sobre la información de su base de datos."
¿Cuál es la función de esta aplicación?;"Esta aplicación es un Asistente Vitual que responde a las preguntas que se le realicen a cerca de los ficheros proporcionado por el usuario. También responde sobre la información de su base de datos."
¿Qué hace esta aplicación?;"Esta aplicación es un Asistente Vitual que responde a las preguntas que se le realicen a cerca de los ficheros proporcionado por el usuario. También responde sobre la información de su base de datos."
¿Cuál es el propósito de esta aplicación?;"Esta aplicación es un Asistente Vitual que responde a las preguntas que se le realicen a cerca de los ficheros proporcionado por el usuario. También responde sobre la información de su base de datos."
¿Qué utilidad tiene esta aplicación?;"Esta aplicación es un Asistente Vitual que responde a las preguntas que se le realicen a cerca de los ficheros proporcionado por el usuario. También responde sobre la información de su base de datos."
¿Para qué se usa esta aplicación?;"Esta aplicación es un Asistente Vitual que responde a las preguntas que se le realicen a cerca de los ficheros proporcionado por el usuario. También responde sobre la información de su base de datos."
¿Qué beneficios ofrece esta aplicación?;"Esta aplicación es un Asistente Vitual que responde a las preguntas que se le realicen a cerca de los ficheros proporcionado por el usuario. También responde sobre la información de su base de datos."
¿Qué permite hacer esta aplicación?;"Esta aplicación es un Asistente Vitual que responde a las preguntas que se le realicen a cerca de los ficheros proporcionado por el usuario. También responde sobre la información de su base de datos."
¿Cuál es el objetivo de esta aplicación?;"Esta aplicación es un Asistente Vitual que responde a las preguntas que se le realicen a cerca de los ficheros proporcionado por el usuario. También responde sobre la información de su base de datos."
¿En qué me puede ayudar esta aplicación?;"Esta aplicación es un Asistente Vitual que responde a las preguntas que se le realicen a cerca de los ficheros proporcionado por el usuario. También responde sobre la información de su base de datos."
¿Qué problemas soluciona esta aplicación?;"Esta aplicación es un Asistente Vitual que responde a las preguntas que se le realicen a cerca de los ficheros proporcionado por el usuario. También responde sobre la información de su base de datos."
¿Cuál es el uso de esta aplicación?;"Esta aplicación es un Asistente Vitual que responde a las preguntas que se le realicen a cerca de los ficheros proporcionado por el usuario. También responde sobre la información de su base de datos."
¿Para qué está diseñada esta aplicación?;"Esta aplicación es un Asistente Vitual que responde a las preguntas que se le realicen a cerca de los ficheros proporcionado por el usuario. También responde sobre la información de su base de datos."
